"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"0610009B22Rik",0.03125,0.034068136,0.111111111,0.036809816,0.043564356,0.008595989,0,0.101851852,0.048484848,0.00621118,0.047619048,0.00621118,0.033333333,0.021505376,0,0.034965035,0.027027027,0,0.033333333,0.03125,0,0.014285714,0.003636364,0.033112583,0.016949153,0.016129032,0.032786885,0.041916168,0.002173913
"0610010F05Rik",0,0.006012024,0.027777778,0.012269939,0.008415842,0.001432665,0,0.074074074,0.006060606,0.01863354,0,0,0,0.005376344,0.019230769,0.020979021,0.013513514,0.011320755,0.033333333,0.008928571,0.076923077,0,0.003636364,0.013245033,0.006779661,0.048387097,0.038251366,0.023952096,0.004347826
"0610010K14Rik",0,0,0,0,0.001980198,0.001432665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003389831,0,0.010928962,0.011976048,0
"0610012G03Rik",0.25,0.098196393,0.083333333,0.116564417,0.096534653,0.042979943,0,0.212962963,0.109090909,0.049689441,0.047619048,0.055900621,0.066666667,0.059139785,0.057692308,0.097902098,0.094594595,0.030188679,0.2,0.116071429,0,0.014285714,0.054545455,0.039735099,0.081355932,0.112903226,0.076502732,0.101796407,0.045652174
"0610030E20Rik",0.125,0.028056112,0.055555556,0.030674847,0.038118812,0.021489971,0,0.037037037,0.024242424,0.01863354,0.047619048,0.01863354,0.133333333,0.059139785,0.028846154,0.020979021,0.013513514,0.00754717,0.066666667,0.022321429,0,0.028571429,0.025454545,0,0.027118644,0.032258065,0.027322404,0.035928144,0.02173913
"0610040J01Rik",0.0625,0.002004008,0,0.018404908,0.041584158,0.001432665,0,0.046296296,0.096969697,0,0,0.02484472,0,0,0.019230769,0,0,0.011320755,0,0.004464286,0,0,0.010909091,0,0.020338983,0,0.005464481,0,0
"1110004F10Rik",0.34375,0.088176353,0.166666667,0.116564417,0.093564356,0.068767908,0,0.175925926,0.103030303,0.068322981,0.095238095,0.086956522,0.166666667,0.134408602,0.028846154,0.076923077,0.121621622,0.026415094,0.1,0.089285714,0.153846154,0.014285714,0.054545455,0.086092715,0.033898305,0.112903226,0.147540984,0.095808383,0.054347826
"1110008P14Rik",0.1875,0.070140281,0.111111111,0.085889571,0.158910891,0.06017192,0,0.092592593,0.139393939,0.02484472,0.047619048,0.049689441,0.066666667,0.080645161,0.048076923,0.048951049,0.027027027,0.037735849,0.233333333,0.022321429,0,0.071428571,0.061818182,0.066225166,0.037288136,0.048387097,0.043715847,0.065868263,0.02826087
"1110012L19Rik",0.0625,0.022044088,0,0.036809816,0.024257426,0.012893983,0,0.027777778,0.03030303,0.01863354,0,0.00621118,0.033333333,0.016129032,0.009615385,0.034965035,0.027027027,0,0.066666667,0.022321429,0,0.014285714,0.007272727,0.01986755,0.030508475,0.048387097,0.021857923,0.023952096,0.004347826
"1110017D15Rik",0.03125,0.012024048,0.027777778,0,0.005445545,0.011461318,0,1.546296296,0.006060606,0,0,0.00621118,0,0.010752688,0.009615385,0.006993007,0,0.018867925,0,0,0,0.014285714,0,0.013245033,0.006779661,0,0,0,0.004347826
"1110032A03Rik",0,0.03006012,0.055555556,0.079754601,0.084653465,0.032951289,0.071428571,0.5,0.103030303,0.01242236,0.047619048,0.02484472,0,0.016129032,0.038461538,0.062937063,0.027027027,0.026415094,0.066666667,0.035714286,0,0.042857143,0.014545455,0.033112583,0.020338983,0.080645161,0.032786885,0.047904192,0.019565217
"1110038F14Rik",0.09375,0.022044088,0.027777778,0.055214724,0.04950495,0.038681948,0,0.092592593,0.060606061,0.037267081,0,0.037267081,0.033333333,0.069892473,0.009615385,0.118881119,0.162162162,0.018867925,0.133333333,0.03125,0.384615385,0,0.04,0.052980132,0.020338983,0.032258065,0.027322404,0.041916168,0.041304348
"1110051M20Rik",0.03125,0.02004008,0,0.049079755,0.009405941,0.00286533,0,0.101851852,0.060606061,0,0.047619048,0.01242236,0,0.032258065,0.028846154,0,0.013513514,0.003773585,0,0.013392857,0,0.014285714,0.007272727,0.006622517,0.010169492,0,0.010928962,0.035928144,0.006521739
"1110059E24Rik",0.0625,0.026052104,0.027777778,0.030674847,0.037128713,0.065902579,0,0.12037037,0.036363636,0.01242236,0.047619048,0.037267081,0.066666667,0.02688172,0.076923077,0.020979021,0.054054054,0.00754717,0,0.035714286,0,0.028571429,0.010909091,0.026490066,0.037288136,0.048387097,0.038251366,0.035928144,0.015217391
"1110059G10Rik",0.09375,0.036072144,0.111111111,0.042944785,0.038613861,0.020057307,0,0.046296296,0.006060606,0.01242236,0,0.01242236,0.033333333,0.02688172,0.038461538,0.027972028,0.081081081,0.00754717,0.033333333,0.026785714,0,0,0.018181818,0.013245033,0.044067797,0.032258065,0.054644809,0.017964072,0.019565217
"1110065P20Rik",0.0625,0.03006012,0,0.049079755,0.048514851,0.008595989,0,0.018518519,0.042424242,0.01863354,0.047619048,0.01242236,0.033333333,0.005376344,0.019230769,0.006993007,0.013513514,0.003773585,0,0.004464286,0,0.057142857,0.007272727,0.026490066,0.013559322,0.080645161,0.049180328,0.047904192,0.008695652
"1300017J02Rik",0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0
"1500009L16Rik",0,0,0,0,0.00049505,0,0,0.046296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0.005464481,0.011976048,0
